"occurrenceID"	"basisOfRecord"	"institutionCode"	"collectionCode"	"catalogNumber"	"voucherNONDWC"	"tipoNONDWC"	"language"	"institutionID"	"collectionID"	"ID.del.conjunto.de.datos.NONDWC"	"Nombre.del.conjunto.de.datos.NONDWC"	"Comentarios.del.registro.biologico.NONDWC"	"Numero.de.registro.NONDWC"	"recordedBy"	"individualCount"	"sex"	"lifeStage"	"preparations"	"otherCatalogNumbers"	"samplingProtocol"	"eventDate"	"Hora.del.evento.NONDWC"	"verbatimEventDate"	"Habitat.NONDWC"	"Numero.de.campo.NONDWC"	"Comentarios.del.evento.NONDWC"	"ID.de.la.ubicacion.NONDWC"	"higherGeography"	"Continente.NONDWC"	"Cuerpo.de.agua.NONDWC"	"country"	"countryCode"	"Subcuenca.NONDWC"	"stateProvince"	"county"	"Centro.poblado...NONDWC"	"locality"	"verbatimLocality"	"verbatimElevation"	"Elevacion.Minima.NONDWC"	"Elevacion.Maxima.NONDWC"	"Profundidad.original.NONDWC"	"verbatimCoordinates"	"verbatimLatitude"	"verbatimLongitude"	"verbatimCoordinateSystem"	"SRS.original.NONDWC"	"decimalLatitude"	"decimalLongitude"	"Datum.NONDWC"	"Incertidumbre.coordenadas.NONDWC"	"Identificado.por.NONDWC"	"Fecha.georreferenciacion.NONDWC"	"Protocolo.de.georreferenciacion.NONDWC"	"Fuentes.de.georreferenciacion.NONDWC"	"Comentarios.georreferenciacion.NONDWC"	"Error.georreferenciacion.NONDWC"	"identifiedBy"	"dateIdentified"	"identificationQualifier"	"Nombre.original.NONDWC"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"specificEpithet"	"scientificName"	"scientificNameAuthorship"	"taxonRank"	"Categoria.original.del.taxon.NONDWC"	"taxonomicStatus"	"validForOrinoco"	"threatRank"	"endemic"	"ODC"	"migratory"	"eventDateMonthYear"
"UN:ICN-MHN:003285"	"Especímen preservado"	"UN"	"ICN-MHN"	3271	"ICN3271"	"Objeto físico"	"es"	"899.999.063-3"	"Registro Nacional de Colecciones: 5"	NA	NA	NA	NA	NA	2	NA	NA	"Animal completo (ETOH)"	NA	NA	"12/01/1993"	NA	"01/12/1993"	NA	NA	NA	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Río Cusiana, quebrada Turubeña\""	"Piedemonte. Quebrada Turubeña afluente río Cusiana"	342	NA	NA	NA	NA	NA	NA	NA	NA	5.032681	-72.67429	"WGS84"	NA	"Diana Carolina Angulo"	"3/14/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas se ubican en la quebrada Turubeña, alfuente del río Cusiana, Aguazul. No se encuentra en Yopal (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"José I. Mojica"	NA	NA	"Astyanax maximus"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Astyanax"	"metae"	"Astyanax metae"	"\"Eigenmann, 1914\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"12-1993"
"IAvH:IAvH:003285"	"Especímen preservado"	"IAvH"	"IAvH-P"	3285	"IAVH3285"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Fernando Rodriguez"	4	NA	NA	"Animal completo (ETOH)"	NA	NA	"08/01/1993"	NA	"08/01/1993"	NA	NA	"\"BP Exploration, epoca de invierno\""	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"Caño Grande"	"Caño Grande"	421	NA	NA	NA	NA	NA	NA	NA	NA	5.11935	-72.66783	"WGS84"	NA	"Irene Aconcha"	"03/01/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al caño Grande (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"5/31/2004"	NA	"Crenicichla geayi"	"Animalia"	"Chordata"	"Actinopterygii"	"Cichliformes"	"Cichlidae"	"Crenicichla"	"geayi"	"Crenicichla geayi"	"\"Pellegrin, 1903\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"08-1993"
"IAvH:IAvH:003286"	"Especímen preservado"	"IAvH"	"IAvH-P"	3286	"IAVH3286"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	5	NA	NA	"Animal completo (ETOH)"	NA	NA	"11/01/1994"	NA	"11/01/1994"	NA	NA	"BP Exploration"	"CO:85410"	"\"América, Sudamérica, Colombia, Casanare, Tauramena\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Tauramena"	NA	"Quebrada Aguablanca"	"Qda. Aguablanca"	448	NA	NA	NA	"4 55 0 -72 42 0"	"4 55 0"	"72 42 0"	NA	NA	5.005353	-72.75165	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Aguablanca (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"5/31/2004"	NA	"Crenicichla geayi"	"Animalia"	"Chordata"	"Actinopterygii"	"Cichliformes"	"Cichlidae"	"Crenicichla"	"geayi"	"Crenicichla geayi"	"\"Pellegrin, 1903\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"11-1994"
"IAvH:IAvH:003287"	"Especímen preservado"	"IAvH"	"IAvH-P"	3287	"IAVH3287"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Fernando Rodriguez"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"03/01/1994"	NA	"03/01/1994"	NA	NA	"BP Exploration"	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"Río Unete"	"Río Unete"	395	NA	NA	NA	NA	NA	NA	NA	NA	5.041403	-72.67063	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Turubeña. Se corrige municipio, no es Tauramena sino Aguazul. (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"5/31/2004"	NA	"Crenicichla geayi"	"Animalia"	"Chordata"	"Actinopterygii"	"Cichliformes"	"Cichlidae"	"Crenicichla"	"geayi"	"Crenicichla geayi"	"\"Pellegrin, 1903\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"03-1994"
"IAvH:IAvH:003288"	"Especímen preservado"	"IAvH"	"IAvH-P"	3288	"IAVH3288"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Fernando Rodriguez"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"08/01/1993"	NA	"08/01/1993"	NA	NA	"BP Exploration"	"CO:85410"	"\"América, Sudamérica, Colombia, Casanare, Tauramena\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Tauramena"	NA	"Quebrada Aguablanca"	"Qda. Aguablanca"	448	NA	NA	NA	"4 55 0 -72 42 0"	"4 55 0"	"72 42 0"	NA	NA	5.005353	-72.75165	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Aguablanca (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"5/31/2004"	NA	"Crenicichla geayi"	"Animalia"	"Chordata"	"Actinopterygii"	"Cichliformes"	"Cichlidae"	"Crenicichla"	"geayi"	"Crenicichla geayi"	"\"Pellegrin, 1903\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"08-1993"
"IAvH:IAvH:003290"	"Especímen preservado"	"IAvH"	"IAvH-P"	3290	"IAVH3290"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Fernando Rodriguez"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"08/01/1993"	NA	"08/01/1993"	NA	NA	"BP Exploration"	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"Río Cachiza"	"Río Cachiza"	370	NA	NA	NA	"5 12 0 -72 36 0"	"5 12 0"	"72 36 0"	NA	NA	5.191027	-72.60375	"WGS84"	NA	"Irene Aconcha"	"03/02/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al río Cachiza (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"5/31/2004"	NA	"Crenicichla geayi"	"Animalia"	"Chordata"	"Actinopterygii"	"Cichliformes"	"Cichlidae"	"Crenicichla"	"geayi"	"Crenicichla geayi"	"\"Pellegrin, 1903\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"08-1993"
"IAvH:IAvH:003293"	"Especímen preservado"	"IAvH"	"IAvH-P"	3293	"IAVH3293"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	10	NA	NA	"Animal completo (ETOH)"	NA	NA	"06/01/1995"	NA	"06/01/1995"	NA	NA	"\"BP Exploration, epoca de lluvías\""	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"Río Unete"	"Río Unete"	395	NA	NA	NA	NA	NA	NA	NA	NA	5.041403	-72.67063	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Turubeña. Se corrige municipio, no es Tauramena sino Aguazul. (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"5/31/2004"	NA	"Crenicichla wallacii"	"Animalia"	"Chordata"	"Actinopterygii"	"Cichliformes"	"Cichlidae"	"Crenicichla"	"geayi"	"Crenicichla geayi"	"\"Pellegrin, 1903\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"06-1995"
"IAvH:IAvH:003294"	"Especímen preservado"	"IAvH"	"IAvH-P"	3294	"IAVH3294"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"11/15/1994"	NA	"11/15/1994"	NA	NA	"\"BP Exploration, epoca de transicion\""	"CO:85139"	"\"América, Sudamérica, Colombia, Casanare, Maní\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Maní"	NA	"Río Cusiana"	"Río Cusiana"	176	NA	NA	NA	"4 31 0 -71 51 0"	"4 31 0"	"71 51 0"	NA	NA	4.760314	-72.23224	"WGS84"	NA	"Irene Aconcha"	"03/09/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al río Cusiana (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"5/31/2004"	NA	"Pachypops fourcroi"	"Animalia"	"Chordata"	"Actinopterygii"	"Incertae sedis "	"Sciaenidae"	"Pachyurus"	"gabrielensis"	"Pachyurus gabrielensis"	"\"Casatti, 2001\""	"Especie"	NA	"Aceptado"	"Sí"	"No"	"No"	"No"	"No"	"11-1994"
"IAvH:IAvH:003297"	"Especímen preservado"	"IAvH"	"IAvH-P"	3297	"IAVH3297"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Hidroestudios SA"	19	NA	NA	"Animal completo (ETOH)"	NA	NA	"06/01/1996"	NA	"06/01/1996"	NA	NA	NA	"CO:85001"	"\"América, Sudamérica, Colombia, Casanare, Yopal\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Yopal"	NA	"\"Cuenca del río Cravo Sur, quebrada La Chula\""	"\"Qda. La Chula, cuenca del río Cravo Sur\""	336	NA	NA	NA	NA	NA	NA	NA	NA	5.329921	-72.41028	"WGS84"	NA	"Irene Aconcha"	"3/17/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la ciudad de Yopal. No se localizó la quebrada La Chula (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 5)\""	NA	"Mauricio Camargo"	NA	NA	"Lebiasina erythrinoides"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Lebiasinidae"	"Lebiasina"	"erythrinoides"	"Lebiasina erythrinoides"	"\"(Valenciennes, 1850)\""	"Especie"	NA	"Aceptado"	"Sí"	"No"	"No"	"No"	"No"	"06-1996"
"IAvH:IAvH:003300"	"Especímen preservado"	"IAvH"	"IAvH-P"	3300	"IAVH3300"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	3	NA	NA	"Animal completo (ETOH)"	NA	NA	"02/01/1996"	NA	"02/01/1996"	NA	NA	"\"Monitoreo hidrobiologico Cusiana, sequia\""	"CO:85410"	"\"América, Sudamérica, Colombia, Casanare, Tauramena\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Tauramena"	NA	"\"Caño Hoyo Hondo, quebrada Turubeña\""	"\"Caño Hoyo Hondo, Qda. Turubeña\""	450	NA	NA	NA	NA	NA	NA	NA	NA	5.010597	-72.7505	"WGS84"	NA	"Irene Aconcha"	"3/17/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la cabecera municipal de Turamena. No se localizó el caño Hoyo Hondo (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 5)\""	NA	"Juan D. Bogotá"	"11/10/2003"	NA	"Astyanax integer"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Astyanax"	"integer"	"Astyanax integer"	"\"Myers, 1930\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"02-1996"
"IAvH:IAvH:003301"	"Especímen preservado"	"IAvH"	"IAvH-P"	3301	"IAVH3301"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Mauricio Camargo"	3	NA	NA	"Animal completo (ETOH)"	NA	NA	"5/19/1994"	NA	"5/19/1994"	NA	NA	"\"Estudio Ecológico, Pozo Cusiana V\""	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Río Upamena, afluente del río Cusiana\""	"Río Upamena afluente del río Cusiana"	326	NA	NA	NA	NA	NA	NA	NA	NA	5.041997	-72.68618	"WGS84"	NA	"Irene Aconcha"	"03/06/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al río Upanema (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"11/01/2003"	NA	"Astyanax abramis"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Astyanax"	"bimaculatus"	"Astyanax bimaculatus"	"\"(Linnaeus, 1758)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"05-1994"
"IAvH:IAvH:003306"	"Especímen preservado"	"IAvH"	"IAvH-P"	3306	"IAVH3306"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	4	NA	NA	"Animal completo (ETOH)"	NA	NA	"06/01/1995"	NA	"06/01/1995"	NA	NA	"\"Monitoreo Cusiana, epoca lluvías\""	"CO:85410"	"\"América, Sudamérica, Colombia, Casanare, Tauramena\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Tauramena"	NA	"\"Río Caja, río Tacuya y caño Iquía\""	"\"Río Caja, caño Iquia y río Tacuya\""	313	NA	NA	NA	"5 0 0 -72 42 0"	"5 0 0"	"72 42 0"	NA	NA	5.019783	-72.68956	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al río Caja (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"11/10/2003"	NA	"Astyanax integer"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Astyanax"	"integer"	"Astyanax integer"	"\"Myers, 1930\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"06-1995"
"IAvH:IAvH:003307"	"Especímen preservado"	"IAvH"	"IAvH-P"	3307	"IAVH3307"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Fernando Rodriguez"	2	NA	NA	"Animal completo (ETOH)"	NA	NA	"03/01/1994"	NA	"03/01/1994"	NA	NA	"Pozo Libia - C"	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"Río Unete"	"Río Unete"	395	NA	NA	NA	NA	NA	NA	NA	NA	5.041403	-72.67063	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Turubeña. Se corrige municipio, no es Tauramena sino Aguazul. (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"11/10/2003"	NA	"Astyanax integer"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Astyanax"	"integer"	"Astyanax integer"	"\"Myers, 1930\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"03-1994"
"IAvH:IAvH:003308"	"Especímen preservado"	"IAvH"	"IAvH-P"	3308	"IAVH3308"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Mauricio Camargo"	8	NA	NA	"Animal completo (ETOH)"	NA	NA	"06/01/1993"	NA	"06/01/1993"	NA	NA	"Efecto Ambiental Cusiana 1"	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Quebrada Arenosa, afluente del río Cusiana\""	"Qda. Arenosa afluente del río Cusiana"	672	NA	NA	NA	"5 22 53.1 -72 25 12.3"	"5 22 53.1"	"72 25 12.3"	NA	NA	5.200481	-72.69497	"WGS84"	NA	"Irene Aconcha"	"03/02/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Arenosa (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"11/10/2003"	NA	"Astyanax integer"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Astyanax"	"integer"	"Astyanax integer"	"\"Myers, 1930\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"06-1993"
"IAvH:IAvH:003311"	"Especímen preservado"	"IAvH"	"IAvH-P"	3311	"IAVH3311"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	4	NA	NA	"Animal completo (ETOH)"	NA	NA	"11/01/1995"	NA	"11/01/1995"	NA	NA	"\"Monitoreo hidrobiologico Cusiana, epoca de transicion\""	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Quebrada Turubeña, afluente del río Cusiana\""	"Qda. Turubeña afluente del río Cusiana"	395	NA	NA	NA	NA	NA	NA	NA	NA	5.041403	-72.67063	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Turubeña, cuenca del río Cusiana. Se corrige municipio, no es Tauramena sino Aguazul. (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"11/10/2003"	NA	"Astyanax integer"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Astyanax"	"integer"	"Astyanax integer"	"\"Myers, 1930\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"11-1995"
"IAvH:IAvH:003312"	"Especímen preservado"	"IAvH"	"IAvH-P"	3312	"IAVH3312"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	3	NA	NA	"Animal completo (ETOH)"	NA	NA	"11/18/1994"	NA	"11/18/1994"	NA	NA	NA	"CO:85410"	"\"América, Sudamérica, Colombia, Casanare, Tauramena\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Tauramena"	NA	"Río Cusiana"	"Río Cusiana"	372	NA	NA	NA	"4 31 59 -71 51 0"	"4 31 59"	"71 51 0"	NA	NA	5.069528	-72.73419	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al río Cusiana (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Vladimir Ortiz"	"11/18/1994"	NA	"Brycon whitei"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Bryconidae"	"Brycon"	"whitei"	"Brycon whitei"	"\"Myers & Weitzman, 1960\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"Si"	"11-1994"
"IAvH:IAvH:003317"	"Especímen preservado"	"IAvH"	"IAvH-P"	3317	"IAVH3317"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Vladimir Ortiz"	8	NA	NA	"Animal completo (ETOH)"	NA	NA	"02/01/1996"	NA	"02/01/1996"	NA	NA	"\"Monitoreo hidrobiologico Cusiana, epoca de sequia\""	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Río Cachiza, quebrada Palmicha\""	"\"Qda. Palmicha, río Cachiza\""	572	NA	NA	NA	NA	NA	NA	NA	NA	5.221658	-72.63253	"WGS84"	NA	"Irene Aconcha"	"03/06/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Palmicha (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"11/01/2003"	NA	"Bryconamericus cismontanus"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Bryconamericus"	"cismontanus"	"Bryconamericus cismontanus"	"\"Eigenmann, 1914\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"02-1996"
